,target,source,number_people,weight
336,Al Rahma,Aboorey,20,0.028050490883590462
337,Al Rahma,Alifoow,14,0.043209876543209874
338,Al Rahma,Alkawthar,13,0.052845528455284556
339,Al Rahma,Awdheegle,20,0.005547850208044383
340,Al Rahma,Bariire,25,0.04084967320261438
341,Al Rahma,Caanoole,16,0.02077922077922078
342,Al Rahma,Jambalul,10,0.04048582995951417
343,Al Rahma,Jambaluul,21,0.041916167664670656
344,Al Rahma,Moqokori,18,0.05921052631578947
345,Al Rahma,Sabiib and caanoole,31,0.06126482213438735
346,Al Rahma,Xawaadley,21,0.02937062937062937
347,Al- Kheir,Towfiiq,14,0.175
348,Al- Kheir,Yaaq Beri Weyne,36,0.04488778054862843
349,Al-Baraka 2,Hawal bar bari,14,1.0
350,Al-Furqan 1,Qansaxdhere,10,0.43478260869565216
351,Al-Furqan-2,Esow,4,0.032
352,Al-Furqan-2,Ufurow,5,0.0026939655172413795
353,Al-Furqan-2,Ufurow ,4,0.02072538860103627
354,Al-Furqan-3,Awdinle ,20,0.03454231433506045
355,Al-Furqan-3,Goof gaduud,3,0.02112676056338028
356,Al-Furqan-3,Shabeelow ,4,0.26666666666666666
357,Al-Furqan-3,Ufurow ,5,0.025906735751295335
358,Al-Furqan-3,Xudur ,5,0.05102040816326531
359,Al-Khaf,Booscaduun,13,0.52
360,Al-Naciim,Janaale,34,0.024216524216524215
361,Al-Nuur,Bulo marer,30,1.0
362,Al-aamin,Balet hawo ,15,1.0
363,Al-aamin,Caracase ,82,0.04786923525977817
364,Al-aamin,Funujo ,32,0.04395604395604396
365,Al-aamin,Gadondhawe ,70,0.07865168539325842
366,Al-aamin,Warsheeq ,28,1.0
367,Al-aamin,Warsheeq Makala ,30,1.0
368,Al-aamin,Wax qabad dagdag ah ayey ubaahan yihiin dadweynaha ,15,1.0
369,Al-aamin,Yusuf jexaay ,48,0.10933940774487472
370,Al-amin,Al -Amin,17,1.0
371,Al-amin,Al Amin ,13,1.0
372,Al-amin,Al amin,77,1.0
373,Al-amin,Awjiki,10,0.625
