,target,source,number_people,weight
4697,Haji Abdulahi,Warsaamale,62,0.29523809523809524
4698,Haji Abdulahi,Yaasiin laawe,68,0.1111111111111111
4699,Haji Abdulahi,baarka humandheerow,30,0.14925373134328357
4700,Haji Abdulahi,babaylow,39,0.5652173913043478
4701,Haji Abdulahi,buslay,55,0.2320675105485232
4702,Haji Abdulahi,tuwaake,49,0.3798449612403101
4703,Hajiweyna,Jilalaw,5,1.0
4704,Hajiweyna,Mayonde ,5,0.07692307692307693
4705,Hajiweyna,Turde,9,0.4090909090909091
4706,Hajiweyna,Turde ,5,0.1282051282051282
4707,Hajiweyne,Mayonde ,13,0.2
4708,Hajiweyne,Nyeri ,7,0.1891891891891892
4709,Hakaba,Baarsaare,4,0.017543859649122806
4710,Hakaba,Busley,8,0.05970149253731343
4711,Hakaba,Buur eyle ,7,0.08974358974358974
4712,Hakaba,Moolamad,13,0.35135135135135137
4713,Hakaba,Moolmad ,6,1.0
4714,Hakaba,Shibeelow,4,0.00684931506849315
4715,Hakaba,Waajid ,26,0.4126984126984127
4716,Hakaba,Xudur,5,0.02092050209205021
4717,Halaac Wanaq,Garas,7,0.3684210526315789
4718,Halaac Wanaq,Garasdhere,7,0.20588235294117646
4719,Halabay,Buulo Fuur,6,0.0379746835443038
4720,Halabay,Dalandole-2,3,0.017341040462427744
4721,Halabay,Duuray,16,0.1568627450980392
4722,Halabay,Maanyow,5,0.017985611510791366
4723,Halabay,Saakow,7,0.009186351706036745
4724,Halabay,Uffurow,23,0.022243713733075435
4725,Haleli Mirsha,Basro,21,0.037300177619893425
4726,Halgan,Aybute,26,1.0
4727,Halgan,Barakaley,32,0.06201550387596899
4728,Halgan,Mukaydhere,9,0.21951219512195122
4729,Halgan,basra,6,0.07228915662650602
4730,Halgan,mukedheere,11,0.14102564102564102
4731,Halimo-Sa'Diyo,Alkawsar ,8,0.042105263157894736
4732,Halis,Furuqley,34,0.5396825396825397
4733,Haluul Iyo Hargan,Baidoa,6,0.026200873362445413
4734,Haluul Iyo Hargan,Cadada,6,1.0
4735,Haluul Iyo Hargan,Gurbaan,6,0.0037974683544303796
4736,Haluul Iyo Hargan,Maanyow,6,0.02158273381294964
4737,Haluul Iyo Hargan,Manas,5,0.056818181818181816
4738,Haluul Iyo Hargan,Misra,4,0.0037174721189591076
4739,Haluul Iyo Hargan,Tugaar-Hoosle,30,0.10752688172043011
4740,Haluul Iyo Hargan,Uffurow,6,0.005802707930367505
4741,Haluul Iyo Hargan,Usmail ,7,1.0
4742,Hamdi,Adan Yabaal,10,0.01680672268907563
4743,Hamdi,Afgooye,15,0.1388888888888889
4744,Hamdi,Barakaley,8,0.015503875968992248
4745,Hamdi,Bariire,27,0.04411764705882353
4746,Hamdi,Basro,18,0.03197158081705151
4747,Hamdi,Cabdicali,5,0.4166666666666667
4748,Hamdi,Fuuro,6,1.0
4749,Hamdi,Jameeco,50,0.1953125
4750,Hamdi,Jowhar,12,0.06896551724137931
4751,Hamdi,Jowhar ,7,0.09859154929577464
4752,Hamdi,Kurtunwaarey,3,0.030303030303030304
4753,Hamdi,Qoryooley,6,0.019417475728155338
4754,Hamdi,Raadelka ,6,0.5454545454545454
4755,Hamdi,Wanleweyn ,4,0.4444444444444444
4756,Hamdi,basra,8,0.0963855421686747
4757,Hamdi His,Qoryooley,25,0.08090614886731391
4758,Hamiin Guurya,Buli Fuur Ooflow,5,0.625
4759,Hamiin Guurya,Buulo Ees,3,1.0
4760,Hamiin Guurya,Eded shooble,6,1.0
4761,Hamiin Guurya,Edeedkoble,5,1.0
4762,Hanaano1,Barkadle 2,6,0.03208556149732621
4763,Hanaano1,Buula shiid,4,1.0
4764,Hanaano1,Buule iidow,4,0.3333333333333333
4765,Hanaano1,Dhariiqa ,6,0.3157894736842105
4766,Hanaano1,Gelgel ,3,0.13043478260869565
4767,Hanaano1,Goome,3,1.0
4768,Hanaano1,Liimay ,2,1.0
4769,Hanaano1,Makiiney,3,0.1875
4770,Hanaano1,Qanyerey,6,0.10714285714285714
4771,Hanaano1,War oorow,7,0.7
4772,Hanan,Marerey,11,0.11827956989247312
4773,Hanana 1,Bakal Gaduud,6,1.0
4774,Hanana 1,Berdale ,5,0.023255813953488372
4775,Hanana 1,Manas ,4,0.2
4776,Hanana 1,Tayeeglow,15,0.6818181818181818
4777,Hanano 2,Goof Gaduud Buuray,21,0.08936170212765958
4778,Hanano 2,Kurman,3,0.0038363171355498722
4779,Hanano 2,Seydheelow,4,0.23529411764705882
4780,Hanano 2,Shibeelow,25,0.04280821917808219
4781,Hanano 3,Badale,6,1.0
4782,Hanano 3,Dhargubey,5,0.5
4783,Hanano 3,Khansaxdheere ,4,0.037383177570093455
4784,Hanano 3,Labaatan jerow,4,1.0
4785,Handooliyow Eyli,Buur Eeyle-2,23,0.20909090909090908
4786,Handooliyow Eyli,Buur eyle ,10,0.1282051282051282
4787,Hangish,Bula xaji,2,0.25
4788,Hangish,Harbole,1,0.03225806451612903
4789,Hangish,Harbole ,2,0.06060606060606061
4790,Hangish,Koban,2,0.018867924528301886
4791,Hangish,Mashaqo ,2,0.04081632653061224
4792,Hangish,Moofi ,1,0.02040816326530612
4793,Hangoodle,Sakow,56,0.32
4794,Hangoodle,Sakow ,19,0.3877551020408163
4795,Hanti Wadaag,Aaqawooy,25,1.0
4796,Happy,Gala,10,1.0
4797,Harago,Xawadley,30,0.13392857142857142
4798,Harar,Mareer,30,1.0
4799,Harar Gafow,Adan Yabaal,10,0.01680672268907563
4800,Harbiyow,October,22,0.04036697247706422
4801,Harcadey,Awdegle,10,0.07518796992481203
4802,Hared,Sabiib iyo caanoole,22,0.07692307692307693
4803,Hared Ley,Gambo,10,1.0
4804,Hareed,Sagaroole,20,1.0
4805,Hareera Boor,Adeygaraar,52,0.9285714285714286
4806,Hareera Boor,Bakaari,2,0.16666666666666666
4807,Hareera Boor,Buur eyle,9,0.08653846153846154
4808,Hareera Boor,Ceel boon,6,1.0
4809,Hareera Boor,Jiir,4,0.031746031746031744
4810,Hareera Boor,Kurmaan,2,1.0
4811,Hareera Boor,Yaaq Braawe,3,0.008875739644970414
4812,Hareere2,Barakaley,39,0.0755813953488372
4813,Hareeri,Owdhiigle,25,0.1201923076923077
4814,Hareeri Boor,Baagay,2,0.08
4815,Hareeri Boor,Boorama,3,0.16666666666666666
4816,Hareeri Boor,Boorama ,29,0.3625
4817,Hareeri Boor,Koban,3,0.02830188679245283
4818,Hareeri Jiroon,Hareeri-Jiroon,25,0.22727272727272727
4819,Hareeri fadimow,Hareeri fadimow,15,1.0
